SyntheticStaffId,DisplayName,RosterFlowUsername,JobRole,EmploymentType,PrimaryTeamCode,ActiveFrom,ActiveTo
DRH-STF-0001,Uma Denholm,rf.udenhol1,Clinician,Permanent,IUCS-HUB,2024-04-01,
DRH-STF-0002,Xen Redwood,rf.xredwoo2,Clinician,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0003,Taylor Ashford,rf.tashfor3,HCA,Permanent,DENT-UC,2024-04-01,
DRH-STF-0004,Sage Iverson,rf.siverso4,HCA,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0005,Gray Kestrel,rf.gkestre5,Clinician,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0006,Zephyr Briar,rf.zbriar6,HCA,Agency,PAL-HOME,2024-04-01,
DRH-STF-0007,Jules Underhill,rf.junderh7,Clinician,Agency,DENT-UC,2024-04-01,
DRH-STF-0008,Vale Hartley,rf.vhartle8,Coordinator,Agency,MH-CRHT,2024-04-01,
DRH-STF-0009,Oakley Underhill,rf.ounderh9,Coordinator,Bank,MH-CRHT,2024-04-01,
DRH-STF-0010,Vale Underhill,rf.vunderh10,Clinician,Permanent,IUCS-HUB,2024-04-01,
DRH-STF-0011,Morgan Iverson,rf.miverso11,Coordinator,Agency,PAL-HOME,2024-04-01,
DRH-STF-0012,Blake Hartley,rf.bhartle12,Coordinator,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0013,Sage Whitmore,rf.swhitmo13,Coordinator,Agency,MH-CRHT,2024-04-01,
DRH-STF-0014,Ellis Iverson,rf.eiverso14,Nurse,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0015,Cameron Sterling,rf.csterli15,Nurse,Permanent,MH-ACCESS,2024-04-01,
DRH-STF-0016,Yael Briar,rf.ybriar16,Nurse,Permanent,IUCS-HUB,2024-04-01,
DRH-STF-0017,Morgan Merrick,rf.mmerric17,HCA,Bank,DENT-UC,2024-04-01,
DRH-STF-0018,Alex Vernon,rf.avernon18,HCA,Agency,PAL-HOME,2024-04-01,
DRH-STF-0019,Kai Denholm,rf.kdenhol19,Coordinator,Bank,MH-CRHT,2024-04-01,
DRH-STF-0020,Indigo Quillan,rf.iquilla20,Nurse,Permanent,IUCS-CTR,2024-04-01,
DRH-STF-0021,Quinn Thornley,rf.qthornl21,Nurse,Permanent,IUCS-CTR,2024-04-01,
DRH-STF-0022,Quinn Ashford,rf.qashfor22,Coordinator,Bank,DENT-UC,2024-04-01,
DRH-STF-0023,Avery Jardine,rf.ajardin23,Clinician,Bank,IUCS-CTR,2024-04-01,2025-12-31
DRH-STF-0024,Casey Yardley,rf.cyardle24,Nurse,Agency,MH-ACCESS,2024-04-01,
DRH-STF-0025,Vale Pemberton,rf.vpember25,Coordinator,Bank,DENT-UC,2024-04-01,
DRH-STF-0026,Dakota Redwood,rf.dredwoo26,Nurse,Permanent,PAL-HOME,2024-04-01,
DRH-STF-0027,Logan Oakden,rf.loakden27,Clinician,Agency,DENT-UC,2024-04-01,
DRH-STF-0028,Reese Hartley,rf.rhartle28,Clinician,Agency,DENT-UC,2024-04-01,
DRH-STF-0029,Cameron Briar,rf.cbriar29,Clinician,Agency,MH-CRHT,2024-04-01,2025-12-31
DRH-STF-0030,Gray Redwood,rf.gredwoo30,HCA,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0031,Parker Northcott,rf.pnorthc31,Coordinator,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0032,Bailey Yardley,rf.byardle32,Coordinator,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0033,Kai Denholm,rf.kdenhol33,HCA,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0034,Oakley Hartley,rf.ohartle34,Nurse,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0035,Reese Ashford,rf.rashfor35,Clinician,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0036,Gray Merrick,rf.gmerric36,Coordinator,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0037,Zephyr Oakden,rf.zoakden37,Coordinator,Bank,MH-CRHT,2024-04-01,
DRH-STF-0038,Winter Pemberton,rf.wpember38,HCA,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0039,Blake Yardley,rf.byardle39,HCA,Permanent,MH-CRHT,2024-04-01,2025-12-31
DRH-STF-0040,Bailey Quillan,rf.bquilla40,Coordinator,Bank,IUCS-CTR,2024-04-01,2025-12-31
DRH-STF-0041,Casey Thornley,rf.cthornl41,Clinician,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0042,Harper Sterling,rf.hsterli42,Nurse,Agency,DENT-UC,2024-04-01,2025-12-31
DRH-STF-0043,Sage Quillan,rf.squilla43,HCA,Bank,MH-CRHT,2024-04-01,
DRH-STF-0044,Morgan Ellerby,rf.mellerb44,HCA,Agency,PAL-HOME,2024-04-01,
DRH-STF-0045,Alex Oakden,rf.aoakden45,Nurse,Agency,DENT-UC,2024-04-01,
DRH-STF-0046,Indigo Ellerby,rf.iellerb46,Clinician,Bank,MH-CRHT,2024-04-01,
DRH-STF-0047,Avery Redwood,rf.aredwoo47,HCA,Bank,PAL-HOME,2024-04-01,
DRH-STF-0048,Vale Redwood,rf.vredwoo48,Clinician,Bank,MH-CRHT,2024-04-01,
DRH-STF-0049,Cameron Denholm,rf.cdenhol49,HCA,Agency,PAL-HOME,2024-04-01,
DRH-STF-0050,Gray Vernon,rf.gvernon50,Nurse,Bank,PAL-HOME,2024-04-01,
DRH-STF-0051,Blake Caldwell,rf.bcaldwe51,Clinician,Bank,PAL-HOME,2024-04-01,
DRH-STF-0052,Uma Iverson,rf.uiverso52,Nurse,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0053,Casey Whitmore,rf.cwhitmo53,Nurse,Permanent,IUCS-CTR,2024-04-01,
DRH-STF-0054,Ellis Briar,rf.ebriar54,Clinician,Bank,MH-CRHT,2024-04-01,
DRH-STF-0055,Logan Glenwood,rf.lglenwo55,Coordinator,Permanent,PAL-HOME,2024-04-01,
DRH-STF-0056,Noel Thornley,rf.nthornl56,Nurse,Bank,PAL-HOME,2024-04-01,
DRH-STF-0057,Zephyr Fairweather,rf.zfairwe57,Coordinator,Bank,MH-ACCESS,2024-04-01,2025-12-31
DRH-STF-0058,Dakota Northcott,rf.dnorthc58,HCA,Permanent,PAL-HOME,2024-04-01,
DRH-STF-0059,Drew Merrick,rf.dmerric59,Coordinator,Agency,IUCS-HUB,2024-04-01,
DRH-STF-0060,Jules Hartley,rf.jhartle60,HCA,Permanent,IUCS-CTR,2024-04-01,2025-12-31
DRH-STF-0061,Bailey Caldwell,rf.bcaldwe61,Coordinator,Agency,MH-CRHT,2024-04-01,
DRH-STF-0062,Kai Ashford,rf.kashfor62,HCA,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0063,Blake Denholm,rf.bdenhol63,Nurse,Agency,DENT-UC,2024-04-01,
DRH-STF-0064,Quinn Denholm,rf.qdenhol64,HCA,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0065,Quinn Redwood,rf.qredwoo65,Clinician,Bank,PAL-HOME,2024-04-01,
DRH-STF-0066,Casey Vernon,rf.cvernon66,Coordinator,Agency,MH-CRHT,2024-04-01,
DRH-STF-0067,Quinn Jardine,rf.qjardin67,Clinician,Agency,PAL-HOME,2024-04-01,
DRH-STF-0068,Noel Vernon,rf.nvernon68,Coordinator,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0069,Reese Ashford,rf.rashfor69,HCA,Agency,MH-CRHT,2024-04-01,
DRH-STF-0070,Oakley Oakden,rf.ooakden70,Coordinator,Agency,MH-ACCESS,2024-04-01,
DRH-STF-0071,Xen Fairweather,rf.xfairwe71,HCA,Bank,PAL-HOME,2024-04-01,
DRH-STF-0072,Avery Hartley,rf.ahartle72,Coordinator,Bank,PAL-HOME,2024-04-01,
DRH-STF-0073,Parker Thornley,rf.pthornl73,Coordinator,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0074,Morgan Pemberton,rf.mpember74,Nurse,Permanent,MH-ACCESS,2024-04-01,
DRH-STF-0075,Yael Denholm,rf.ydenhol75,Coordinator,Agency,MH-ACCESS,2024-04-01,
DRH-STF-0076,Reese Hartley,rf.rhartle76,HCA,Bank,IUCS-HUB,2024-04-01,
DRH-STF-0077,Taylor Kestrel,rf.tkestre77,Nurse,Agency,MH-ACCESS,2024-04-01,
DRH-STF-0078,Reese Oakden,rf.roakden78,Clinician,Agency,IUCS-CTR,2024-04-01,
DRH-STF-0079,Uma Iverson,rf.uiverso79,Clinician,Bank,DENT-UC,2024-04-01,
DRH-STF-0080,Harper Iverson,rf.hiverso80,HCA,Bank,MH-CRHT,2024-04-01,
DRH-STF-0081,Winter Ellerby,rf.wellerb81,HCA,Agency,PAL-HOME,2024-04-01,
DRH-STF-0082,Blake Glenwood,rf.bglenwo82,HCA,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0083,Cameron Sterling,rf.csterli83,Clinician,Permanent,MH-ACCESS,2024-04-01,
DRH-STF-0084,Cameron Northcott,rf.cnorthc84,Nurse,Permanent,DENT-UC,2024-04-01,
DRH-STF-0085,Harper Iverson,rf.hiverso85,Nurse,Bank,MH-ACCESS,2024-04-01,
DRH-STF-0086,Xen Fairweather,rf.xfairwe86,Nurse,Bank,MH-ACCESS,2024-04-01,
